plot,trmt,harvest,soil_moisture_per,bf,ff,pp,om,bf_ff,total_nema
1,Gh,I,3.9960238568588435,12063.836019819893,4752.420250232079,3533.8509553007766,2193.4247308763443,2.5384615384615388,24371.385898626046
2,Ex,I,4.980182322631799,7530.396396370924,7948.751751724865,2091.7767767697014,1882.599099092731,0.9473684210526314,20917.767767697012
3,Gh,I,5.48272458045409,12335.014059674926,11371.341086262823,6552.976219202305,5589.303245790201,1.0847457627118644,38546.918936484144
4,Ex,I,3.704970819078268,11074.930351051788,14095.365901338639,6644.958210631073,4832.6968804589615,0.7857142857142857,40272.47400382468
5,Gh,I,4.310549190043467,6925.238395961991,5029.0421684962075,1236.6497135646412,2390.85611289164,1.3770491803278688,16488.66284752855
6,Ex,I,3.9095219280916527,20667.90415535899,9206.611851023548,4321.470868847789,1315.2302644319357,2.2448979591836737,37578.00755519816
7,Ex,I,4.783913565426168,17121.1593676449,6489.471695800889,1242.6647928129364,828.4431952086242,2.638297872340426,27614.773173620808
8,Gh,I,4.543274035578671,10286.839573266663,10001.094029564812,4857.674242931481,1428.727718509259,1.0285714285714285,28574.55437018518
9,Gh,I,3.573717948717947,11184.346473602793,11049.59531127023,2695.0232466512757,673.7558116628189,1.0121951219512193,26950.232466512756
10,Ex,I,4.221303406182331,9389.785837518517,6371.640389744708,3577.061271435626,1564.9643062530865,1.4736842105263157,22356.632946472662
11,Gh,I,4.219492868462737,9222.683402584693,5283.829032730814,1825.3227567615538,2017.4619943154016,1.7454545454545454,19213.923755384778
12,Ex,I,3.8325991189427255,12387.165001038926,8794.887150737637,1114.8448500935033,1362.588150114282,1.4084507042253522,24774.33000207785
1,Gh,F,7.791044776119405,4157.439481663483,1429.1198218218226,1559.0398056238064,909.439886613887,2.9090909090909087,8661.33225346559
2,Ex,F,9.544914918876135,4792.499788230053,3686.538298638502,921.6345746596255,2334.807589137718,1.3,12288.460995461674
3,Gh,F,10.580838323353293,2798.581277385815,1219.8944029630477,932.8604257952717,1793.9623572985993,2.2941176470588234,7175.849429194397
4,Ex,F,7.806632041550143,2476.484125075875,2571.7335145018706,1000.1185889729495,3047.9804616318465,0.9629629629629628,9524.93894259952
5,Gh,F,8.373757455268372,4930.403925975327,2285.9145474976517,403.39668485252673,941.2589313225624,2.156862745098039,8964.370774500594
6,Ex,F,7.623566627125333,3283.780699998963,1368.2419583329013,2243.916811665958,3557.4290916655436,2.4,10945.93566666321
7,Ex,F,7.690920024052906,5751.933833972612,2767.4398635151247,976.7434812406321,813.9529010338601,2.0784313725490193,10852.705347118135
8,Gh,F,8.984833164812954,3346.7901196740513,816.2902730912322,1224.4354096368481,2489.685332928258,4.1,8162.902730912321
9,Gh,F,6.8401040624374465,2483.2862149802263,2214.8228403877697,570.484671008971,704.7163583051993,1.121212121212121,6711.584364811422
10,Ex,F,8.08442211055278,1780.3292518530616,2350.0346124460416,1602.2963266677555,854.5580408894696,0.7575757575757575,7121.317007412246
11,Gh,F,7.7268175445623815,4420.563489260272,1887.9489902049077,1105.140872315068,1243.2834813544516,2.3414634146341466,9209.507269292233
12,Ex,F,7.006178991429146,5061.515378844711,2502.9471653627693,1223.6630586217982,1446.1472510984888,2.022222222222222,11124.20962383453
