plot,trmt,harvest,bf,ff,pp,om
1,Gh,I,0.495,0.195,0.145,0.09
2,Ex,I,0.36,0.38,0.1,0.09
3,Gh,I,0.32,0.295,0.17,0.145
4,Ex,I,0.275,0.35,0.165,0.12
5,Gh,I,0.42,0.305,0.075,0.145
6,Ex,I,0.55,0.245,0.115,0.035
7,Ex,I,0.62,0.235,0.045,0.03
8,Gh,I,0.36,0.35,0.17,0.05
9,Gh,I,0.415,0.41,0.1,0.025
10,Ex,I,0.42,0.285,0.16,0.07
11,Gh,I,0.48,0.275,0.095,0.105
12,Ex,I,0.5,0.355,0.045,0.055
1,Gh,F,0.48,0.165,0.18,0.105
2,Ex,F,0.39,0.3,0.075,0.19
3,Gh,F,0.39,0.17,0.13,0.25
4,Ex,F,0.26,0.27,0.105,0.32
5,Gh,F,0.55,0.255,0.045,0.105
6,Ex,F,0.3,0.125,0.205,0.325
7,Ex,F,0.53,0.255,0.09,0.075
8,Gh,F,0.41,0.1,0.15,0.305
9,Gh,F,0.37,0.33,0.085,0.105
10,Ex,F,0.25,0.33,0.225,0.12
11,Gh,F,0.48,0.205,0.12,0.135
12,Ex,F,0.455,0.225,0.11,0.13
