plot,trmt,tot_ag_plant_g_m2,tot_root_g_m2,s_r
1,Gh,169.37781639622526,NA,NA
2,Ex,163.88142340412634,NA,NA
3,Gh,203.4271626891911,646.6058108622502,0.31460769339193
4,Ex,147.23058581041485,585.2749615672793,0.251557977836867
5,Gh,149.7969163618728,623.0434982720705,0.24042770172117184
6,Ex,112.95895891850385,436.0385614551002,0.2590572690212296
7,Ex,175.01566067856206,667.5093902440498,0.2621920578743831
8,Gh,119.20302301614566,370.3122767372502,0.321898652851643
9,Gh,124.47713540929942,596.5887870846502,0.20864813101429833
10,Ex,130.1149796916362,544.2508976204026,0.23907168598256898
11,Gh,138.92537434073597,419.4688435085731,0.331193547484288
12,Ex,103.60296643562955,489.0553436032,0.21184303124533257
